81,12/9/2021 17:00:00,9/12/2021,Ford Field,Detroit Lions,San Francisco 49ers,null,null
82,21/09/2021 00:15,9/21/2021,Lambeau Field,Green Bay Packers,Detroit Lions,null,null
83,26/09/2021 17:00,9/26/2021,Ford Field,Detroit Lions,Baltimore Ravens,null,null
84,3/10/2021 17:00:00,10/3/2021,Soldier Field,Chicago Bears,Detroit Lions,null,null
85,10/10/2021 17:00:00,10/10/2021,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,null
86,17/10/2021 17:00,10/17/2021,Ford Field,Detroit Lions,Cincinnati Bengals,null,null
87,24/10/2021 20:05,10/24/2021,SoFi Stadium,Los Angeles Rams,Detroit Lions,null,null
88,31/10/2021 17:00,10/31/2021,Ford Field,Detroit Lions,Philadelphia Eagles,null,null
89,14/11/2021 18:00,11/14/2021,Heinz Field,Pittsburgh Steelers,Detroit Lions,null,null
90,21/11/2021 18:00,11/21/2021,FirstEnergy Stadium,Cleveland Browns,Detroit Lions,null,null
91,25/11/2021 17:30,11/25/2021,Ford Field,Detroit Lions,Chicago Bears,null,null
92,5/12/2021 18:00:00,12/5/2021,Ford Field,Detroit Lions,Minnesota Vikings,null,null
93,12/12/2021 21:05:00,12/12/2021,Empower Field at Mile High,Denver Broncos,Detroit Lions,null,null
94,19/12/2021 18:00,12/19/2021,Ford Field,Detroit Lions,Arizona Cardinals,null,null
95,26/12/2021 18:00,12/26/2021,Mercedes-Benz Stadium,Atlanta Falcons,Detroit Lions,null,null
96,2/1/2022 21:25:00,1/2/2022,Lumen Field,Seattle Seahawks,Detroit Lions,null,null
97,9/1/2022 18:00:00,1/9/2022,Ford Field,Detroit Lions,Green Bay Packers,null,null
